236 | 123 | STEAM_0:1:454020867 | 400000 BE | 1 LVL | 
237 | -=Razor= | STEAM_0:1:533730724 | 400000 BE | 3 LVL | 
238 | ❄Борька❄ | STEAM_0:0:525518353 | 400200 BE | 5 LVL | 
239 | ooooooo | STEAM_0:0:511743192 | 400000 BE | 1 LVL | 
240 | Doomsday86 | STEAM_0:0:430942129 | 400000 BE | 1 LVL | 
241 | sad | STEAM_0:1:513404105 | 65456 BE | 39 LVL | 
242 | 1111111 | STEAM_0:0:535170727 | 400000 BE | 1 LVL | 
243 | Derek | STEAM_0:0:424093421 | 400000 BE | 1 LVL | 
244 | ArtemDimon | STEAM_0:1:153482295 | 400000 BE | 1 LVL | 
245 | angri donald | STEAM_0:1:523671154 | 400000 BE | 1 LVL | 
246 | ауауа | STEAM_0:0:457684589 | 400000 BE | 1 LVL | 
247 | ЧТО | STEAM_0:1:519826744 | 400000 BE | 1 LVL | 
248 | o.sh.d | STEAM_0:0:523590298 | 400000 BE | 2 LVL | 
249 | voliss | STEAM_0:0:134963834 | 400000 BE | 1 LVL | 
250 | hector | STEAM_0:1:96282074 | 400000 BE | 2 LVL | 
251 | ЭРРОР | STEAM_0:1:540285739 | 400000 BE | 2 LVL | 
252 | MiSHok | STEAM_0:1:453312870 | 400000 BE | 7 LVL | 
253 | ARHAAAAAAA | STEAM_0:1:556261389 | 398460 BE | 12 LVL | 
254 | Reidhorn | STEAM_0:0:535606067 | 400000 BE | 1 LVL | 
255 | vwewev | STEAM_0:0:531825179 | 400091 BE | 4 LVL | 
256 | BLUMASHOT | STEAM_0:1:68904835 | 400000 BE | 1 LVL | 
257 | Gero | STEAM_0:1:422535359 | 400000 BE | 1 LVL | 
258 | жоп жужоп | STEAM_0:1:127547463 | 400000 BE | 1 LVL | 
259 | АНДРЮЩА | STEAM_0:0:459019262 | 400000 BE | 2 LVL | 
260 | 123 | STEAM_0:0:90270688 | 400000 BE | 1 LVL | 
261 | уа43пу | STEAM_0:0:460346157 | 400000 BE | 1 LVL | 
262 | ВФВ | STEAM_0:1:500365814 | 400000 BE | 1 LVL | 
263 | цербер | STEAM_0:1:76095668 | 400000 BE | 2 LVL | 
